1,1996 World Champion,=PROMO,Christopher Rush,WUBRG,Special,Celebration Cards
48,Ebon Drake,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51095,Pete Venters,Black,U,Fifth Dawn
,Ebon Stronghold,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184483,Mark Poole,,U,Fallen Empires
228,Ebon Stronghold,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184483,Mark Poole,,U,Masters Edition II
12,Elder Cathar,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=222910,Chris Rahn,White,C,Innistrad
,Elder Spawn,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1478,Jesper Myrfors,Blue,R,Legends
88,Elderwood Scion,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270725,Nils Hamm,White/Green,R,Planechase 2012 Edition
199,Eldrazi Monument,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=193398,Mark Tedin,,M,Zendikar
78,Eldrazi Spawn,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401720,Mark Tedin,,C,Duel Decks: Zendikar vs. Eldrazi
183,Electryte,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9700,Thomas M. Baxa,Red,R,Urza's Saga
1,Elemental,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159048,Anthony S. Waters,Colorless,C,Duel Decks: Elves vs. Goblins
193,Elemental Augury,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184619,Anthony S. Waters,Blue/Black/Red,R,Masters Edition II
83,Elemental Resonance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=107369,Mark Tedin,Green,R,Dissension
240,Elephant Ambush,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=32919,Anthony S. Waters,Green,C,Odyssey
,Elephant Graveyard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202432,Rob Alexander,,R,Arabian Nights
244,Elephant Graveyard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202432,Rob Alexander,,U,Masters Edition IV
324,Elfhame Palace,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45495,Anthony S. Waters,,U,Eighth Edition
,Elite Javelineer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45199,Mark Poole,White,C,Tempest
19,Elite Javelineer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45199,Mark Poole,White,U,Eighth Edition
2,Elite Vanguard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240315,Mark Tedin,White,U,Duel Decks: Elspeth vs. Tezzeret
9,Elite Vanguard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240315,Mark Tedin,White,U,Magic 2010
13,Elite Vanguard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240315,Mark Tedin,White,U,Magic 2011
15,Elite Vanguard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240315,Mark Tedin,White,U,Magic 2012
1,"Elspeth, Sun's Champion",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394361,Tyler Jacobson,White,M,Duel Decks: Elspeth vs. Kiora
,Elven Fortress,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1906,Mark Poole,Green,C,Fallen Empires
,Elven Fortress,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1906,Pete Venters,Green,C,Fallen Empires
,Elves of Deep Shadow,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201324,Jesper Myrfors,Green,U,The Dark
116,Elves of Deep Shadow,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201324,Jesper Myrfors,Green,C,Masters Edition III
68,Elves of Deep Shadow,=PROMO,Jesper Myrfors,G,Special,Friday Night Magic
236,Elvish Bard,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=82960,Rob Alexander,Green,U,Ninth Edition
,Elvish Hunter,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1910,Mark Poole,Green,C,Fallen Empires
243,Elvish Pioneer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45413,Thomas M. Baxa,Green,C,Eighth Edition
257,Elvish Pioneer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45413,Christopher Rush,Green,C,Onslaught
,Elvish Scout,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1914,Christopher Rush,Green,C,Fallen Empires
,Elvish Scout,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1914,Mark Poole,Green,C,Fallen Empires
,Elvish Scout,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1914,Pete Venters,Green,C,Fallen Empires
143,Elvish Skysweeper,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389500,Mark Tedin,Green,C,Commander 2013 Edition
162,Elvish Skysweeper,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389500,Mark Tedin,Green,C,Ravnica: City of Guilds
192,Elvish Skysweeper,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389500,Mark Tedin,Green,C,Commander 2014
200,Embermage Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=39589,Pete Venters,Red,U,Onslaught
42,Emissary of Despair,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45469,rk post,Black,U,Darksteel
3,Emissary of Hope,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=48153,rk post,White,U,Darksteel
3,"Emrakul, the Aeons Torn",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397905,Mark Tedin,,M,Modern Masters 2015 Edition
4,"Emrakul, the Aeons Torn",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397905,Mark Tedin,,M,Rise of the Eldrazi
,Enchantment Alteration,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2803,Brian Snoddy,Blue,U,Chronicles
,Enchantment Alteration,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2803,Brian Snoddy,Blue,C,Legends
59,Encroach,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=15175,rk post,Black,U,Urza's Destiny
63,Endbringer's Revel,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=24616,Pete Venters,Black,U,Prophecy
294,Endoskeleton,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=8846,Mark Tedin,,U,Urza's Saga
76,"Endrek Sahr, Master Breeder",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397748,Mark Tedin,Black,R,Commander 2013 Edition
82,"Endrek Sahr, Master Breeder",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397748,Mark Tedin,Black,R,Modern Masters 2015 Edition
106,"Endrek Sahr, Master Breeder",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397748,Mark Tedin,Black,R,Time Spiral
222,Enduring Scalelord,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394565,Clint Cearley,White/Green,U,Dragons of Tarkir
89,Enigma Sphinx,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271169,Chris Rahn,White/Blue/Black,R,Planechase 2012 Edition
106,Enigma Sphinx,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=271169,Chris Rahn,White/Blue/Black,R,Alara Reborn
6,Enormous Baloth,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=189882,Mark Tedin,Green,U,Eighth Edition
9,Enormous Baloth,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=189882,Mark Tedin,Green,U,Ninth Edition
125,Enormous Baloth,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=189882,Mark Tedin,Green,U,Legions
180,Enormous Baloth,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=189882,Mark Tedin,Green,U,Magic 2010
263,Enormous Baloth,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=189882,Mark Tedin,Green,U,Tenth Edition
58,Enslave,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=233060,Chris Rahn,Black,U,New Phyrexia
,Ensnaring Bridge,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5124,Pete Venters,,R,Stronghold
181,Entangling Vines,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=189901,Thomas M. Baxa,Green,C,Magic 2010
10,Ephara's Warden,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373724,Zack Stella,White,C,Theros
192,Epicenter,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=30547,Anthony S. Waters,Red,R,Odyssey
91,Epiphany Storm,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=378463,Clint Cearley,Red,C,Born of the Gods
9,Erase,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386533,Zack Stella,White,C,Khans of Tarkir
,Erhnam Djinn,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2831,Ken Meyer Jr.,Green,U,Chronicles
,Erhnam Djinn,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2831,Ken Meyer Jr.,Green,R,Arabian Nights
,Eron the Relentless,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108922,Christopher Rush,Red,U,Homelands
61,Eron the Relentless,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108922,Christopher Rush,Red,S,"Time Spiral ""Timeshifted"""
,Erosion,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2153,Pete Venters,Blue,C,Fourth Edition
,Erosion,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2153,Pete Venters,Blue,C,The Dark
107,"Ertai, the Corrupted",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=25614,Mark Tedin,White/Blue/Black,R,Planeshift
223,Esper Panorama,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376322,Franz Vohwinkel,,C,Shards of Alara
286,Esper Panorama,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376322,Franz Vohwinkel,,C,Commander 2013 Edition
,Eternal Flame,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1787,Mark Poole,Red,R,The Dark
95,Eternal Thirst,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=383234,Clint Cearley,Black,C,Magic 2015 Core Set
91,Etherium-Horn Sorcerer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=265144,Franz Vohwinkel,Blue/Red,R,Planechase 2012 Edition
,Evacuation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=129541,Rob Alexander,Blue,R,Stronghold
75,Evacuation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=129541,Rob Alexander,Blue,R,Ninth Edition
76,Evacuation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=129541,Rob Alexander,Blue,R,Eighth Edition
83,Evacuation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=129541,Franz Vohwinkel,Blue,R,Tenth Edition
11,Evangel of Heliod,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373641,Nils Hamm,White,U,Theros
23,Evasive Action,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=210153,Brian Snoddy,Blue,U,Apocalypse
50,Evasive Action,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=210153,Brian Snoddy,Blue,U,Duel Decks: Phyrexia vs. the Coalition
,Evil Eye of Orms-by-Gore,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=107278,Jesper Myrfors,Black,U,Legends
42,Evil Eye of Orms-by-Gore,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=107278,Jesper Myrfors,Black,S,"Time Spiral ""Timeshifted"""
176,Evolutionary Leap,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398573,Chris Rahn,Green,R,Magic Origins
8,Exalted Angel,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401635,Tyler Jacobson,White,M,From the Vault: Angels
24,Exalted Angel,=PROMO,Rob Alexander,4WW,Special,Judge Gift Program
,Exile,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159091,Rob Alexander,White,R,Alliances
12,Exile,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159091,Rob Alexander,White,C,Masters Edition
21,Exile,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159091,Rob Alexander,White,R,Classic Sixth Edition
67,Exile into Darkness,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74399,Pete Venters,Black,U,Saviors of Kamigawa
109,Exiled Boggart,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=146443,Pete Venters,Black,C,Lorwyn
13,Exiled Doomsayer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=40648,Brian Snoddy,White,R,Scourge
201,Expedition Map,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397742,Franz Vohwinkel,,C,Zendikar
213,Expedition Map,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397742,Franz Vohwinkel,,U,Modern Masters 2015 Edition
110,Experiment Kraj,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=107385,Mark Tedin,Blue/Green,R,Dissension
250,Exploration,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=8823,Brian Snoddy,Green,R,Urza's Saga
135,Extortion,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=19703,Pete Venters,Black,R,Mercadian Masques
130,Extruder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=15255,Mark Tedin,,U,Urza's Destiny
,Eye for an Eye,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202492,Mark Poole,White,R,Fifth Edition
,Eye for an Eye,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202492,Mark Poole,White,R,Fourth Edition
,Eye for an Eye,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202492,Mark Poole,White,R,Revised Edition
,Eye for an Eye,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202492,Mark Poole,White,U,Arabian Nights
12,Eye for an Eye,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202492,Mark Poole,White,R,Masters Edition IV
67,Eye Gouge,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=378439,Tyler Jacobson,Black,C,Born of the Gods
134,Face of Fear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=31738,Thomas M. Baxa,Black,U,Odyssey
42,Faerie Macabre,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393888,rk post,Black,C,Duel Decks: Garruk vs. Liliana
66,Faerie Macabre,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393888,rk post,Black,C,Shadowmoor
86,Faerie Macabre,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393888,rk post,Black,C,Modern Masters
58,Faerie Squadron,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=22975,rk post,Blue,C,Invasion
73,Fall,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=259266,Pete Venters,Black/Red,U,Duel Decks: Ajani vs. Nicol Bolas
156,Fall,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=259266,Pete Venters,Black/Red,U,Dissension
87,Fangren Pathcutter,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50171,Rob Alexander,Green,U,Fifth Dawn
,Farmstead,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1345,Mark Poole,White,R,Revised Edition
,Farmstead,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1345,Mark Poole,White,R,Unlimited Edition
,Farmstead,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1345,Mark Poole,White,R,Limited Edition Beta
,Farmstead,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1345,Mark Poole,White,R,Limited Edition Alpha
13,Farrel's Mantle,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184643,Anthony S. Waters,White,U,Masters Edition II
,Fastbond,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382934,Mark Poole,Green,R,Revised Edition
,Fastbond,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382934,Mark Poole,Green,R,Unlimited Edition
,Fastbond,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382934,Mark Poole,Green,R,Limited Edition Beta
,Fastbond,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382934,Mark Poole,Green,R,Limited Edition Alpha
152,Fastbond,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382934,Mark Poole,Green,R,Masters Edition IV
209,Fastbond,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382934,Nils Hamm,Green,M,Vintage Masters
79,Fated Conflagration,=PROMO,Clint Cearley,1RRR,Special,Media Inserts
36,Fatespinner,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45970,rk post,Blue,R,Mirrodin
203,Fathom Feeder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401876,Clint Cearley,,R,Battle for Zendikar
122,Faultgrinder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=247299,Anthony S. Waters,Red,C,Magic: The Gathering-Commander
163,Faultgrinder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=247299,Anthony S. Waters,Red,C,Lorwyn
,Fear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2104,Mark Poole,Black,C,Fourth Edition
,Fear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2104,Mark Poole,Black,C,Revised Edition
,Fear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2104,Mark Poole,Black,C,Unlimited Edition
,Fear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2104,Mark Poole,Black,C,Limited Edition Beta
,Fear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2104,Mark Poole,Black,C,Limited Edition Alpha
69,Feast of Dreams,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380412,Clint Cearley,Black,C,Journey into Nyx
,Feast or Famine,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159739,Pete Venters,Black,C,Alliances
,Feast or Famine,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159739,Pete Venters,Black,C,Alliances
70,Feast or Famine,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159739,Pete Venters,Black,C,Masters Edition
,Feint,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1572,Brian Snoddy,Red,C,Legends
,Feldon's Cane,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109694,Mark Tedin,,U,Fifth Edition
,Feldon's Cane,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109694,Mark Tedin,,C,Chronicles
,Feldon's Cane,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109694,Mark Tedin,,U,Antiquities
109,Feldon's Cane,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109694,Mark Tedin,,S,"Time Spiral ""Timeshifted"""
70,Felhide Brawler,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=378442,Nils Hamm,Black,C,Born of the Gods
,Feral Thallid,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184485,Rob Alexander,Green,U,Fallen Empires
161,Feral Thallid,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184485,Rob Alexander,Green,C,Masters Edition II
88,Ferocious Charge,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=51617,Anthony S. Waters,Green,C,Fifth Dawn
245,Ferocity,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=19639,Pete Venters,Green,C,Mercadian Masques
71,Fertile Ground,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205394,Mark Tedin,Green,C,Planechase
211,Fertile Ground,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205394,Mark Tedin,Green,C,Lorwyn
98,Fervent Charge,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=28011,Mark Tedin,White/Black/Red,R,Apocalypse
,Fervor,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14648,Franz Vohwinkel,Red,R,Weatherlight
174,Fervor,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14648,Franz Vohwinkel,Red,R,Classic Sixth Edition
59,Festerhide Boar,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380200,Nils Hamm,Green,C,Duel Decks: Jace vs. Vraska
179,Festerhide Boar,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380200,Nils Hamm,Green,C,Innistrad
16,Festering Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370358,Thomas M. Baxa,Black,C,Archenemy
27,Festering Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370358,Thomas M. Baxa,Black,C,Planechase
87,Festering Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370358,Thomas M. Baxa,Black,C,Modern Masters
130,Festering Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370358,Thomas M. Baxa,Black,C,Ninth Edition
143,Festering Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370358,Thomas M. Baxa,Black,C,Tenth Edition
148,Festering Goblin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370358,Thomas M. Baxa,Black,C,Onslaught
,Festival,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1808,Mark Poole,White,C,The Dark
97,Fetid Imp,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398633,Nils Hamm,Black,C,Magic Origins
,Fevered Strength,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201169,Brian Snoddy,Black,C,Alliances
,Fevered Strength,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201169,Brian Snoddy,Black,C,Alliances
66,Fevered Strength,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201169,Brian Snoddy,Black,C,Masters Edition III
60,Field of Reality,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=50272,Christopher Rush,Blue,C,Champions of Kamigawa
98,Fierce Invocation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394072,Tyler Jacobson,Red,C,Ugin's Fate promos
98,Fierce Invocation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394072,Tyler Jacobson,Red,C,Fate Reforged
52,Fiery Bombardment,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=157200,Nils Hamm,Red,R,Eventide
66,Filth,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=33722,Thomas M. Baxa,Black,U,Judgment
128,Fire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=27166,Franz Vohwinkel,Red,U,Apocalypse
19a,Fire (Fire/Ice),=PROMO,Franz Vohwinkel & David Martin,1R,Special,Friday Night Magic
140,Fire at Will,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=151149,Pete Venters,White/Red,C,Eventide
,Fire Drake,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201256,Christopher Rush,Red,U,Fifth Edition
,Fire Drake,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201256,Christopher Rush,Red,U,Chronicles
,Fire Drake,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201256,Christopher Rush,Red,U,The Dark
98,Fire Drake,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201256,Christopher Rush,Red,C,Masters Edition III
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Beatdown Box Set
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Fifth Edition
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Fourth Edition
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Revised Edition
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Unlimited Edition
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Limited Edition Beta
,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,C,Limited Edition Alpha
115,Fireball,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221511,Mark Tedin,Red,U,Masters Edition IV
6,Fireball,=PROMO,Mark Tedin,XR,Special,Magic Player Rewards
4,Fireball,=PROMO,Mark Tedin,XR,Special,Media Inserts
90,Firefist Striker,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366311,Tyler Jacobson,Red,U,Gatecrash
145,Firemantle Mage,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401880,Chris Rahn,Red,U,Battle for Zendikar
,Firestorm Hellkite,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=3737,Pete Venters,Blue/Red,R,Visions
238,Firewake Sliver,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109727,Anthony S. Waters,Red/Green,U,Time Spiral
91,Fists of the Anvil,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=130379,Pete Venters,Red,C,Mirrodin
201,Fists of the Anvil,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=130379,Pete Venters,Red,C,Tenth Edition
272,Flagstones of Trokair,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=116733,Rob Alexander,,R,Time Spiral
53,Flame Jab,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=153432,rk post,Red,C,Eventide
42,Flametongue Kavu,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393837,Pete Venters,Red,U,Duel Decks: Jace vs. Chandra
54,Flametongue Kavu,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393837,Pete Venters,Red,U,Planechase
60,Flametongue Kavu,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393837,Pete Venters,Red,U,Planeshift
58,Flametongue Kavu,=PROMO,Pete Venters,3R,Special,Friday Night Magic
67,Fleeting Distraction,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198311,Kieran Yanner,Blue,C,Rise of the Eldrazi
136,Flesh Reaver,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5654,Pete Venters,Black,U,Urza's Saga
38,Fleshbag Marauder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393889,Pete Venters,Black,U,Duel Decks: Garruk vs. Liliana
76,Fleshbag Marauder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393889,Pete Venters,Black,U,Shards of Alara
83,Fleshbag Marauder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393889,Pete Venters,Black,U,Magic: The Gathering-Commander
